YEAR,CLASS,Scientific Name,Common Name,"Global
Rank","State
Rank","Federal
Status","State
Status","SWAP
Status",
2020,Amphibians,Ambystoma bishopi,Reticulated Flatwoods Salamander,G2,S1,LE,SP,P1,
2020,Amphibians,Ambystoma texanum,Small-mouthed Salamander,G5,S3,,P2,,
2020,Amphibians,Ambystoma tigrinum,Eastern Tiger Salamander,G5,S3,,P2,,
2020,Amphibians,Amphiuma means,Two-toed Amphiuma,G5,S3,,,,
2020,Amphibians,Amphiuma pholeter,One-toed Amphiuma,G3,S1,,SP,P2,
2020,Amphibians,Amphiuma tridactylum,Three-toed Amphiuma,G5,S3,,,,
2020,Amphibians,Aneides aeneus,Green Salamander,G3G4,S3,UR,SP,P2,
2020,Amphibians,Cryptobranchus alleganiensis,Hellbender,G3G4,S2,UR,SP,P1,
2020,Amphibians,Desmognathus aeneus,Seepage Salamander,G3G4,S2,UR,SP,P2,
2020,Amphibians,Desmognathus apalachicolae,Apalachicola Dusky Salamander,G4,S3,,,,
2020,Amphibians,Desmognathus auriculatus,Southern Dusky Salamander,G5,S2,,SP,P1,
2020,Amphibians,Desmognathus monticola,Seal Salamander,G5,S5,,SP18,,
2020,Amphibians,Desmognathus ocoee,Ocoee Salamander,G5,S2,,,,
2020,Amphibians,Gyrinophilus palleucus palleucus,Pale Salamander,G2G3T2,S2,UR,SP,P2,
2020,Amphibians,Hyla andersonii,Pine Barrens Treefrog,G4,S2,,SP,P1,
2020,Amphibians,Lithobates areolatus,Crawfish Frog,G4,S1,,SP,P1,
2020,Amphibians,Lithobates capito,Gopher Frog,G3,S2,UR,SP,P1,
2020,Amphibians,Lithobates heckscheri,River Frog,G5,S1,,SP,P1,
2020,Amphibians,Lithobates sevosus,Dusky Gopher Frog,G1,SH,LE,SP,P1,
2020,Amphibians,Lithobates sylvaticus,Wood Frog,G5,S2,,P1,,
2020,Amphibians,Necturus alabamensis,Black Warrior Waterdog7,G1,S1,LE,SP,P1,
2020,Amphibians,Necturus maculosus,Mudpuppy,G5,S1,,,,
2020,Amphibians,Necturus moleri,Apalachicola Waterdog,GNR,S1,,,,
2020,Amphibians,Necturus mounti,Escambia Waterdog,GNR,S1,,,,
2020,Amphibians,Phaeognathus hubrichti,Red Hills Salamander7,G2,S2,LT,SP,P1,
2020,Amphibians,Plethodon serratus,Southern Red-backed Salamander,G5,S2S3,,P2,,
2020,Amphibians,Pseudacris ocularis,Little Grass Frog,G5,S1,,P2,,
2020,Amphibians,Siren lacertina,Greater Siren,G5,S1,,,,
2020,Amphibians,Siren reticulata,Reticulated Siren,GNR,S1,,,,
2020,Amphipods,Bactrurus wilsoni,an amphipod,G1G2,S1,,,,
2020,Amphipods,Crangonyx antennatus,Appalachian Valley cave amphipod,G5,S3S5,,,,
2020,Amphipods,Stygobromus alabamensis,a cave obligate amphipod,G5,SNR,,,,
2020,Amphipods,Stygobromus dicksoni,a cave obligate amphipod,G5,SNR,,,,
2020,Amphipods,Stygobromus exilis,central Kentucky cave amphipod,G5,S1,,,,
2020,Amphipods,Stygobromus inexpectatus,a cave obligate amphipod,G1,S1,,,,
2020,Amphipods,Stygobromus smithi,Alabama well amphipod,G2G3,S1,,,,
2020,Amphipods,Stygobromus vitreus,an amphipod,G4,SNR,,,,
2020,Arachnids,Alabamocreagris mortis,a cave obligate pseudoscorpion,G1G2,S1S2,,,,
2020,Arachnids,Alabamocreagris pecki,a cave obligate pseudoscorpion,G1G2,S1S2,,,,
2020,Arachnids,Anahita punctulata,southeastern wandering spider,G4,SNR,,,,
2020,Arachnids,Aphrastochthonius pecki,a cave obligate pseudoscorpion7,G1,S1,,,,
2020,Arachnids,Aphrastochthonius tenax,a cave obligate pseudoscorpion,G1G2,S1S2,,,,
2020,Arachnids,Apochthonius russelli,a cave obligate pseudoscorpion,G1,S1,,,,
2020,Arachnids,Appaleptoneta barrowsi,a cave spider7,G1,S1,,,,
2020,Arachnids,Appaleptoneta credulai,a cave spider7,G1,S1,,,,
2020,Arachnids,Appaleptoneta jonesi,a cave spider7,G1,S1,,,,
2020,Arachnids,Bishopella jonesi,a cave obligate harvestman7,G1,S1,,,,
2020,Arachnids,Cicurina minima,cave spider,GNR,SNR,,,,
