YEAR,CLASS,SCIENTIFIC NAME,COMMON NAME,GLOBAL RANK,STATE RANK,FEDERAL STATUS,STATE STATUS,,
2021,Mammals,Bos bison,American Bison,G4,SX,,,,
2021,Mammals,Canis rufus,Red Wolf,G1Q,SX,LE,GANOS,,
2021,Mammals,Cervus elaphus,Elk,G5,SX,,,,
2021,Mammals,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,G3G4,S2,,SP,,
2021,Mammals,Geomys pinetis,Southeastern Pocket Gopher,G5,S3,,SP,,
2021,Mammals,Lasiurus intermedius,Northern Yellow Bat,G5,S1,,SP,,
2021,Mammals,Microtus ochrogaster,Prairie Vole,G5,S2,,,,
2021,Mammals,Mustela frenata,Long-tailed Weasel,G5,S3,,SP,,
2021,Mammals,Myotis austroriparius,Southeastern Myotis,G4,S2,,SP,,
2021,Mammals,Myotis grisescens,Gray Myotis,G4,S2,LE,SP,,
2021,Mammals,Myotis leibii,Eastern Small-footed Myotis,G4,SNA,,,,
2021,Mammals,Myotis lucifugus,Little Brown Myotis,G3,S3,,SP,,
2021,Mammals,Myotis septentrionalis,Northern Myotis,G1G2,S2,LT,SP,,
2021,Mammals,Myotis sodalis,Indiana Myotis,G2,S2,LE,SP,,
2021,Mammals,Neotoma magister,Allegheny Woodrat,G3G4,S3,,,,
2021,Mammals,Perimyotis subflavus,Tri-colored Bat,G2G3,S3,UR,,,
2021,Mammals,Peromyscus polionotus ammobates,Alabama Beach Mouse,G5T1,S1,LE,SP,,
2021,Mammals,Peromyscus polionotus trissyllepsis,Perdido Key Beach Mouse,G5T1,S1,LE,SP,,
2021,Mammals,Puma concolor,Cougar,G5,SX,LE,GANOS,,
2021,Mammals,Sorex fumeus,Smoky Shrew,G5,S1,,SP,,
2021,Mammals,Sorex hoyi,American Pygmy Shrew,G5,S1,,SP,,
2021,Mammals,Spilogale putorius,Eastern Spotted Skunk,G4,S2S3,,SP,,
2021,Mammals,Sylvilagus obscurus,Appalachian Cottontail,G4,S1,,GA,,
2021,Mammals,Sylvilagus palustris,Marsh Rabbit,G5,S3,,GA,,
2021,Mammals,Tadarida brasiliensis,Brazilian Free-tailed Bat,G5,S3,,,,
2021,Mammals,Trichechus manatus,West Indian Manatee,G2G3,S1,LT,SP,,
2021,Mammals,Ursus americanus,American Black Bear,G5,S2,,SP,,
2021,Mammals,Zapus hudsonius,Meadow Jumping Mouse,G5,S1,,SP,,
2021,Birds,Ammodramus henslowii,Henslow's Sparrow,G4,S2N,,SP,,
2021,Birds,Ammodramus leconteii,Le Conte's Sparrow,G5,S3N,,SP,,
2021,Birds,Ammodramus maritimus,Seaside Sparrow,G4,S2,,SP,,
2021,Birds,Ammodramus nelsoni,Nelson's Sparrow,G5,S3N,,SP,,
2021,Birds,Anas fulvigula,Mottled Duck,G4,"S2N,S3B",,GB,,
2021,Birds,Anas rubripes,American Black Duck,G5,"S2B,S5N",,GB,,
2021,Birds,Asio flammeus,Short-eared Owl,G5,S2N,,SP,,
2021,Birds,Athene cunicularia,Burrowing Owl,G4,S2N,,SP,,
2021,Birds,Bonasa umbellus,Ruffed Grouse,G5,S1,,GBNOS,,
2021,Birds,Botaurus lentiginosus,American Bittern,G5,S3N,,SP,,
2021,Birds,Calidris canutus,Red Knot,G4,S2N,LT,SP,,
2021,Birds,Campephilus principalis,Ivory-billed Woodpecker,G1,SX,LE,SP,,
2021,Birds,Charadrius melodus,Piping Plover,G3,S1N,LT,SP,,
2021,Birds,Charadrius nivosus,Snowy Plover,G3,"S1B,S2N",,SP,,
2021,Birds,Charadrius wilsonia,Wilson's Plover,G5,S1,,SP,,
2021,Birds,Chondestes grammacus,Lark Sparrow,G5,S3B,,SP,,
2021,Birds,Circus hudsonius,Northern Harrier,G5,S3N,,SP,,
2021,Birds,Cistothorus palustris,Marsh Wren,G5,"S2B,S4N",,SP,,
2021,Birds,Coccyzus erythropthalmus,Black-billed Cuckoo,G5,S1B,,SP,,
2021,Birds,Columbina passerina,Common Ground-dove,G5,S3,,SP,,
2021,Birds,Corvus corax,Common Raven,G5,SX,,,,
2021,Birds,Coturnicops noveboracensis,Yellow Rail,G4,S2N,,GB,,
2021,Birds,Crotophaga sulcirostris,Groove-billed Ani,G5,S2N,,SP,,
2021,Birds,Dryobates borealis,Red-cockaded Woodpecker,G3,S2,PT,SP,,
2021,Birds,Egretta rufescens,Reddish Egret,G4,"S1B,S3N",,SP,,
2021,Birds,Elanoides forficatus,Swallow-tailed Kite,G5,S2,,SP,,
2021,Birds,Empidonax traillii,Willow Flycatcher,G5,S1B,SC,SP,,
2021,Birds,Eudocimus albus,White Ibis,G5,"S2B,S3N",,SP,,
2021,Birds,Falco peregrinus,Peregrine Falcon,G4,"SHB,S3N",SC,SP,,
2021,Birds,Falco sparverius,American Kestrel,G5,"S3B,S5N",,SP,,
2021,Birds,Gelochelidon nilotica,Gull-billed Tern,G5,"S2B,S4N",,SP,,
2021,Birds,Grus americana,Whooping Crane,G1,S1N,"LE,XN",SP,,
2021,Birds,Grus canadensis pulla,Mississippi Sandhill Crane,G5T1,SH,LE,SP,,
2021,Birds,Haematopus palliatus,American Oystercatcher,G5,S1,,SP,,
2021,Birds,Hydroprogne caspia,Caspian Tern,G5,"S2B,S4N",,SP,,
2021,Birds,Ixobrychus exilis,Least Bittern,G4G5,"S2N,S4B",,SP,,
2021,Birds,Laterallus jamaicensis,Black Rail,G3,S2N,SC,GB,,
2021,Birds,Loxia curvirostra,Red Crossbill,G5,S1B,,SP,,
2021,Birds,Mycteria americana,Wood Stork,G4,S2N,LT,SP,,
2021,Birds,Numenius americanus,Long-billed Curlew,G5,S2N,,SP,,
2021,Birds,Passerina ciris,Painted Bunting,G5,S2B,,SP,,
2021,Birds,Peucaea aestivalis,Bachman's Sparrow,G3,S3,,SP,,
2021,Birds,Plegadis falcinellus,Glossy Ibis,G5,"S1B,S3N",,SP,,
2021,Birds,Porphyrio martinicus,Purple Gallinule,G5,S2B,,GB,,
2021,Birds,Rallus crepitans,Clapper Rail,G5,S2,SC,GB,,
2021,Birds,Rallus elegans,King Rail,G4,"S2S3B,S4N",SC,GB,,
2021,Birds,Rynchops niger,Black Skimmer,G5,"S2B,S4N",,SP,,
2021,Birds,Scolopax minor,American Woodcock,G5,"S3B,S5N",,GB,,
2021,Birds,Setophaga cerulea,Cerulean Warbler,G4,S1B,,SP,,
2021,Birds,Setophaga petechia,Yellow Warbler,G5,S2B,,SP,,
2021,Birds,Sterna forsteri,Forster's Tern,G5,"S1B,S5N",,SP,,
2021,Birds,Sterna hirundo,Common Tern,G5,"S1B,S4N",,SP,,
2021,Birds,Sternula antillarum,Least Tern,G4,"S2B,S4N",,SP,,
2021,Birds,Thalasseus maximus,Royal Tern,G5,"S2B,S5N",,SP,,
2021,Birds,Thalasseus sandvicensis,Sandwich Tern,G5,"S1B,S5N",,SP,,
2021,Birds,Thryomanes bewickii,Bewick's Wren,G5,"SHB,S1N",,SP,,
2021,Birds,Tringa semipalmata,Willet,G5,"S2B,S5N",,SP,,
2021,Birds,Tyrannus dominicensis,Gray Kingbird,G5,S1B,,SP,,
2021,Birds,Tyrannus forficatus,Scissor-tailed Flycatcher,G5,S2,,SP,,
2021,Birds,Vermivora bachmanii,Bachman's Warbler,GH,SX,LE,SP,,
2021,Birds,Vireo gilvus,Warbling Vireo,G5,S1B,,SP,,
2021,Birds,Vireo solitarius,Blue-headed Vireo,G5,"S3B,S4N",,SP,,
2021,Birds,Zenaida asiatica,White-winged Dove,G5,"S2B,S3N",,GB,,
2021,Reptiles,Apalone ferox,Florida Softshell,G5,S2,,RT,,
2021,Reptiles,Caretta caretta,Loggerhead Sea Turtle,G3,S1,LT,SP,,
2021,Reptiles,Chelonia mydas,Green Sea Turtle,G3,S1,LT,SP,,
2021,Reptiles,Coluber flagellum,Coachwhip,G5,S3,,SP,,
2021,Reptiles,Crotalus adamanteus,Eastern Diamond-backed Rattlesnake,G3,S3,UR,,,
2021,Reptiles,Deirochelys reticularia reticularia,Eastern Chicken Turtle,G5,S2S3,,,,
2021,Reptiles,Dermochelys coriacea,Leatherback Sea Turtle,G2,SNA,LE,SP,,
2021,Reptiles,Drymarchon couperi,Eastern Indigo Snake,G3,S1,LT,SP,,
2021,Reptiles,Farancia erytrogramma,Rainbow Snake,G4,S3,,SP,,
2021,Reptiles,Gopherus polyphemus,Gopher Tortoise,G3,S3,"LT, C",SP,,
2021,Reptiles,Graptemys barbouri,Barbour's Map Turtle,G2,S2,,SP,,
2021,Reptiles,Graptemys ernsti,Escambia Map Turtle,G2,S2,UR,SP,,
2021,Reptiles,Graptemys geographica,Northern Map Turtle,G5,S3,,,,
2021,Reptiles,Graptemys ouachitensis,Southern Map Turtle,G5,S3,,,,
2021,Reptiles,Graptemys pulchra,Alabama Map Turtle,G4,S3,UR,SP,,
2021,Reptiles,Heterodon simus,Southern Hog-nosed Snake,G2,SH,UR,SP,,
2021,Reptiles,Lampropeltis calligaster calligaster,Prairie Kingsnake,G5,S1S2,,SP,,
2021,Reptiles,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,G5,S3,,,,
2021,Reptiles,Lampropeltis getula,Eastern Kingsnake,G5,S5,,SP,,
2021,Reptiles,Lampropeltis nigra holbrooki,Eastern Speckled Kingsnake,G5TNR,S3,,SP,,
2021,Reptiles,Lampropeltis triangulum syspila,Red Milksnake,G5T5,S2,,,,
2021,Reptiles,Lampropeltis triangulum triangulum,Eastern Milksnake,G5T5,S2,,,,
2021,Reptiles,Lepidochelys kempii,Kemp's Ridley Sea Turtle,G1,S1,LE,SP,,
2021,Reptiles,Liodytes pygaea,Black Swampsnake,G5,S1,,,,
2021,Reptiles,Macrochelys temminckii,Alligator Snapping Turtle,G3,S3,UR,SP,,
2021,Reptiles,Malaclemys terrapin pileata,Mississippi Diamond- backed Terrapin,G4T3Q,S2,,SP,,
2021,Reptiles,Micrurus fulvius,Harlequin Coralsnake,G5,S3,,SP,,
2021,Reptiles,Nerodia clarkii clarkii,Gulf Saltmarsh Watersnake,G4T3,S2,,SP,,
2021,Reptiles,Nerodia cyclopion,Mississippi Green Watersnake,G5,S1S2,,,,
2021,Reptiles,Nerodia floridana,Florida Green Watersnake,G5,S1S2,,,,
2021,Reptiles,Nerodia taxispilota,Brown Watersnake,G5,S3,,,,
2021,Reptiles,Ophisaurus attenuatus,Slender Glass Lizard,G5,S3,,,,
2021,Reptiles,Ophisaurus mimicus,Mimic Glass Lizard,G3,S1,,SP,,
2021,Reptiles,Pituophis melanoleucus lodingi,Black Pinesnake,G4T1?,S2,LT,SP,,
2021,Reptiles,Pituophis melanoleucus melanoleucus,Northern Pinesnake,G4T4,S3,SC,SP,,
2021,Reptiles,Pituophis melanoleucus mugitus,Florida Pinesnake,G4T3,S2,UR,SP,,
2021,Reptiles,Plestiodon anthracinus,Coal Skink,G5,S3,,SP,,
2021,Reptiles,Plestiodon inexpectatus,Southeastern Five-lined Skink,G5,S3,,SP,,
2021,Reptiles,Pseudemys alabamensis,Alabama Red-bellied Cooter,G1,S1,LE,SP,,
2021,Reptiles,Rhadinaea flavilata,Pine Woods Littersnake,G4,S2,,,,
2021,Reptiles,Sternotherus carinatus,Razor-backed Musk Turtle,G5,S1,,,,
2021,Reptiles,Sternotherus depressus,Flattened Musk Turtle,G1,S2,LT,SP,,
2021,Amphibians,Ambystoma bishopi,Reticulated Flatwoods Salamander,G2,SX,LE,SP,,
2021,Amphibians,Ambystoma texanum,Small-mouthed Salamander,G5,S3,,,,
2021,Amphibians,Ambystoma tigrinum,Eastern Tiger Salamander,G5,S3,,,,
2021,Amphibians,Amphiuma means,Two-toed Amphiuma,G5,S3,,,,
2021,Amphibians,Amphiuma pholeter,One-toed Amphiuma,G3,S1,,SP,,
2021,Amphibians,Amphiuma tridactylum,Three-toed Amphiuma,G5,S3,,,,
2021,Amphibians,Aneides aeneus,Green Salamander,G3G4,S3,UR,SP,,
2021,Amphibians,Cryptobranchus alleganiensis,Hellbender,G3,S1S2,UR,SP,,
2021,Amphibians,Desmognathus aeneus,Seepage Salamander,G3G4,S2,UR,SP,,
2021,Amphibians,Desmognathus apalachicolae,Apalachicola Dusky Salamander,G4,S3,,,,
2021,Amphibians,Desmognathus auriculatus,Southern Dusky Salamander,G4,S2,,SP,,
2021,Amphibians,Desmognathus monticola,Seal Salamander,G5,S5,,SP,,
2021,Amphibians,Desmognathus ocoee,Ocoee Salamander,G5,S2,,,,
2021,Amphibians,Gyrinophilus palleucus palleucus,Pale Salamander,G2G3T2,S2,UR,SP,,
2021,Amphibians,Hyla andersonii,Pine Barrens Treefrog,G4,S2,,SP,,
2021,Amphibians,Lithobates areolatus,Crawfish Frog,G4,S1,,,,
2021,Amphibians,Lithobates capito,Gopher Frog,G2G3,S2,UR,SP,,
2021,Amphibians,Lithobates heckscheri,River Frog,G5,S1,,SP,,
2021,Amphibians,Lithobates sevosus,Dusky Gopher Frog,G1,SH,LE,SP,,
2021,Amphibians,Lithobates sylvaticus,Wood Frog,G5,S2,,,,
2021,Amphibians,Necturus alabamensis,Black Warrior Waterdog,G1,S1,LE,SP,,
2021,Amphibians,Necturus maculosus,Mudpuppy,G5,S2,,,,
2021,Amphibians,Necturus moleri,Apalachicola Waterdog,GNR,S1,,,,
2021,Amphibians,Necturus mounti,Escambia Waterdog,GNR,S1,,,,
2021,Amphibians,Phaeognathus hubrichti,Red Hills Salamander,G2,S2,LT,SP,,
2021,Amphibians,Plethodon serratus,Southern Red-backed Salamander,G5,S2S3,,,,
2021,Amphibians,Pseudacris ocularis,Little Grass Frog,G5,S1,,,,
2021,Amphibians,Siren lacertina,Greater Siren,G5,S1,,,,
2021,Amphibians,Siren reticulata,Reticulated Siren,GNR,S1,,,,
2021,Fishes,Acantharchus pomotis,Mud Sunfish,G4G5,S1,,,,
2021,Fishes,Acipenser fulvescens,Lake Sturgeon,G3G4,S1,,SP,,
2021,Fishes,Acipenser oxyrinchus desotoi,Gulf Sturgeon,G3T2T3,S1,LT,SP,,
2021,Fishes,Alosa alabamae,Alabama Shad,G2G3,S2,SC,SP,,
2021,Fishes,Ameiurus brunneus,Snail Bullhead,G4,S3,,CNGF,,
2021,Fishes,Ameiurus catus,White Catfish,G5,S3,,CNGF,,
2021,Fishes,Ameiurus serracanthus,Spotted Bullhead,G3,S2,,CNGF,,
2021,Fishes,Ammocrypta bifascia,Florida Sand Darter,G4,S3,,,,
2021,Fishes,Ammocrypta vivax,Scaly Sand Darter,G5,S1,,,,
2021,Fishes,Atractosteus spatula,Alligator Gar,G3G4,S2,,CNGF,,
2021,Fishes,Campostoma pauciradii,Bluefin Stoneroller,G4,S3,,,,
2021,Fishes,Carpiodes carpio,River Carpsucker,G5,S2,,CNGF,,
2021,Fishes,Chrosomus erythrogaster,Southern Redbelly Dace,G5,S3,,,,
2021,Fishes,Cottus bairdii,Mottled Sculpin,G5,S2,,,,
2021,Fishes,Cottus paulus,Pygmy Sculpin,G1,S1,LT,SP,,
2021,Fishes,Cottus tallapoosae,Tallapoosa Sculpin,G4,S3,,,,
2021,Fishes,Crystallaria asprella,Crystal Darter,G3,S3,,SP,,
2021,Fishes,Cycleptus elongatus,Blue Sucker,G3G4,S1,,CNGF,,
2021,Fishes,Cycleptus meridionalis,Southeastern Blue Sucker,G3G4,S3,,CNGF,,
2021,Fishes,Cyprinella caerulea,Blue Shiner,G2,S1,LT,SP,,
2021,Fishes,Cyprinella callitaenia,Bluestripe Shiner,G2G3,S1,,,,
2021,Fishes,Cyprinella gibbsi,Tallapoosa Shiner,G4,S3,,,,
2021,Fishes,Elassoma alabamae,Spring Pygmy Sunfish,G1,S1,LT,SP,,
2021,Fishes,Elassoma evergladei,Everglades Pygmy Sunfish,G5,S3,,,,
2021,Fishes,Enneacanthus gloriosus,Bluespotted Sunfish,G5,S3,,GF,,
2021,Fishes,Enneacanthus obesus,Banded Sunfish,G5,S1,,GF,,
2021,Fishes,Erimonax monachus,Spotfin Chub,G2,SX,"LT, XN",SP,,
2021,Fishes,Erimystax dissimilis,Streamline Chub,G4,S1S2,,,,
2021,Fishes,Erimystax insignis,Blotched Chub,G4,S2,,,,
2021,Fishes,Etheostoma bellator,Warrior Darter,G2,S2,,,,
2021,Fishes,Etheostoma blennioides,Greenside Darter,G5,S3,,,,
