"Scientific Name","Common Name","GA Prot","US Prot","GRank","Rnd GRank","SRank","Rnd SRank","SwapStatus","ES_ID","Element Code","Group","Georgia Habitat Summary","EO Count","Export Date"
"Acipenser fulvescens","Lake Sturgeon","null","null","G3G4","G3","S3","S3","Yes","22206","AFCAA01020","Animal","Large freshwater rivers and lakes over clean firm substrates","16","March 30, 2023"
"Acipenser oxyrinchus desotoi","Gulf Sturgeon","null","LT","G3T2T3","T2","SX","SX","Yes","19553","AFCAA01041","Animal","Estuaries; deep pools at lower end of large rivers","3","March 30, 2023"
"Alasmidonta varicosa","Brook Floater","null","null","G3","G3","S2","S2","No","18304","IMBIV02100","Animal","Medium rivers and creeks with gravel and boulders ","1","March 30, 2023"
"Amblema elliottii","Coosa Fiveridge","null","null","G3","G3","S2","S2","No","17281","IMBIV03030","Animal","Medium to large rivers; slow to strong current with sand, gravel, and cobble substrate.","11","March 30, 2023"
"Ammocrypta bifascia","Florida Sand Darter","null","null","G4","G4","SNR","SNR","No","408358","AFCQC01030","Animal","Streams and rivers with moderate flow and sandy substrates.","3","March 30, 2023"
"Anguilla rostrata","American Eel","null","null","G4","G4","S4","S4","No","17773","AFCEA01010","Animal","undercut banks, deep pools near boulders and logs","187","March 30, 2023"
"Atlanticoncha ochracea","Tidewater Mucket","null","null","G3G4","G3","S3","S3","No","20402","IMBIV24030","Animal","Large to small rivers in Atlantic Coastal Plain","2","March 30, 2023"
"Cambarunio nebulosa","Alabama Rainbow","null","null","G3","G3","S2","S2","Yes","18627","IMBIV47080","Animal","Large rivers to small streams; flowing water with gravel and sand substrates, may be found in fine sediments among cobble and boulders","18","March 30, 2023"
"Cambarus conasaugaensis","Mountain Crayfish","null","null","G3","G3","S3","S3","No","18447","ICMAL07400","Animal","Rocky portions of medium sized rivers, cascading mountain streams, and seepage areas","30","March 30, 2023"
"Cambarus distans","Boxclaw Crayfish","null","null","G5","G5","S1","S1","Yes","21430","ICMAL07470","Animal","Clear cool streams under debris or clean slab rocks;  streams can dry to isolated pools","2","March 30, 2023"
"Cambarus halli","Slackwater Crayfish","null","null","G3G4","G3","S2S3","S2","No","21969","ICMAL07550","Animal","Lotic habitats in debris or among roots along undercut banks","17","March 30, 2023"
"Cambarus hiwasseensis","Hiwassee Crayfish","null","null","G3G4","G3","S3","S3","No","18093","ICMAL07570","Animal","Clear streams with swift flow and rocky substrate","17","March 30, 2023"
"Cambarus longirostris","Longnose crayfish","null","null","G5","G5","S1","S1","No","22292","ICMAL07070","Animal","Riffle areas of streams under rocks","4","March 30, 2023"
"Cambarus manningi","Greensaddle Crayfish","null","null","G4","G4","S1?","S1","Yes","19350","ICMAL07630","Animal","Rocky riffles in streams with moderate to swift current","7","March 30, 2023"
"Cambarus stockeri","Cocoa Crayfish","null","null","GNR","GNR","S3","S3","No","34800","ICMAL07A60","Animal","Complex burrows adjacent to streams and ditches or in low areas where the water table is near the surface of the ground.","5","March 30, 2023"
"Campeloma regulare","Cylinder campeloma","null","null","G4","G4","S2","S2","Yes","32030","IMGASE6140","Animal","Large rivers to small streams along margins","12","March 30, 2023"
"Chologaster cornuta","Swampfish","null","null","G5","G5","S2S3","S2","Yes","19011","AFCLA02020","Animal","Blackwater streams, ponds, ditches, and swamps; often in woody debris, detritus, or vegetation","14","March 30, 2023"
